"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","INDPROD","TOT","IDX2015","M","2020-09",125.4,
"POL","INDPROD","TOT","IDX2015","M","2020-10",126.6,
"POL","INDPROD","TOT","IDX2015","M","2020-11",127.6,
"POL","INDPROD","TOT","IDX2015","M","2020-12",128,
"POL","INDPROD","TOT","IDX2015","M","2021-01",129.8,
"POL","INDPROD","TOT","IDX2015","M","2021-02",130.2,
"POL","INDPROD","TOT","IDX2015","M","2021-03",133.7,
"POL","INDPROD","TOT","IDX2015","M","2021-04",132.7,
"POL","INDPROD","TOT","IDX2015","M","2021-05",134.8,
"POL","INDPROD","TOT","IDX2015","M","2021-06",136.2,
"PRT","INDPROD","TOT","IDX2015","M","2019-10",104.2691,
"PRT","INDPROD","TOT","IDX2015","M","2019-11",103.1291,
"PRT","INDPROD","TOT","IDX2015","M","2019-12",106.4391,
"PRT","INDPROD","TOT","IDX2015","M","2020-01",107.0491,
"PRT","INDPROD","TOT","IDX2015","M","2020-02",104.5791,
"PRT","INDPROD","TOT","IDX2015","M","2020-03",95.9792,
"PRT","INDPROD","TOT","IDX2015","M","2020-04",74.44938,
"PRT","INDPROD","TOT","IDX2015","M","2020-05",76.83936,
"PRT","INDPROD","TOT","IDX2015","M","2020-06",85.83929,
"PRT","INDPROD","TOT","IDX2015","M","2020-07",97.91918,
"PRT","INDPROD","TOT","IDX2015","M","2020-08",106.9791,
"PRT","INDPROD","TOT","IDX2015","M","2020-09",103.9191,
"PRT","INDPROD","TOT","IDX2015","M","2020-10",105.6191,
"PRT","INDPROD","TOT","IDX2015","M","2020-11",100.0392,
"PRT","INDPROD","TOT","IDX2015","M","2020-12",101.6392,
"PRT","INDPROD","TOT","IDX2015","M","2021-01",100.5692,
"PRT","INDPROD","TOT","IDX2015","M","2021-02",102.0791,
"PRT","INDPROD","TOT","IDX2015","M","2021-03",101.6992,
"PRT","INDPROD","TOT","IDX2015","M","2021-04",102.1791,
"PRT","INDPROD","TOT","IDX2015","M","2021-05",97.33919,
"PRT","INDPROD","TOT","IDX2015","M","2021-06",95.20921,
"SVK","INDPROD","TOT","IDX2015","M","2019-10",112.4187,
"SVK","INDPROD","TOT","IDX2015","M","2019-11",111.1185,
"SVK","INDPROD","TOT","IDX2015","M","2019-12",110.2184,
"SVK","INDPROD","TOT","IDX2015","M","2020-01",115.1192,
"SVK","INDPROD","TOT","IDX2015","M","2020-02",114.119,
"SVK","INDPROD","TOT","IDX2015","M","2020-03",91.01517,
"SVK","INDPROD","TOT","IDX2015","M","2020-04",66.91115,
"SVK","INDPROD","TOT","IDX2015","M","2020-05",81.21354,
"SVK","INDPROD","TOT","IDX2015","M","2020-06",101.0168,
"SVK","INDPROD","TOT","IDX2015","M","2020-07",105.2175,
